"Company","Title","Location","URL","Source","Status","Notes","ApplicationStatus","Confidence","TrackerFirstSeenBasis"
"IMC Trading","2027 - Software Engineering Intern - BITS Pilani","Mumbai, India","https://job-boards.eu.greenhouse.io/imc/jobs/4917549101","Career page Greenhouse:imc","Confirmed official posting","career_page=https://job-boards.greenhouse.io/imc?error=true | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4917549101 | internship timing not stated in title | Software Engineering Intern Are you someone who is passionate about challenging the status quo? Do you enjoy the process of problem solving, a process where you recognize areas of improvement and iterate and innovate to improve? Does your curiosity and desire to learn drive you? ROLE OVERVIEW: If so, then join IMC as a Software Engineer Intern! At IMC, Software Engineers don’t just write software and design technology. They are responsible for spotting new opportunities, developing new technologies and solving problems. As a result, they deliver results and make a difference. IMC knows that having the best software is what drives our business. Software development here is innovative, pragmatic and fun, even as compl...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"IMC Trading","2027 - Software Engineering Intern - IIT Bombay","Mumbai, India","https://job-boards.eu.greenhouse.io/imc/jobs/4860319101","Career page Greenhouse:imc","Confirmed official posting","career_page=https://job-boards.greenhouse.io/imc?error=true | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4860319101 | internship timing not stated in title | Software Engineering Intern Are you someone who is passionate about challenging the status quo? Do you enjoy the process of problem solving, a process where you recognize areas of improvement and iterate and innovate to improve? Does your curiosity and desire to learn drive you? ROLE OVERVIEW: If so, then join IMC as a Software Engineer Intern! At IMC, Software Engineers don’t just write software and design technology. They are responsible for spotting new opportunities, developing new technologies and solving problems. As a result, they deliver results and make a difference. IMC knows that having the best software is what drives our business. Software development here is innovative, pragmatic and fun, even as compl...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"IMC Trading","2027 - Software Engineering Intern - IIT Delhi","Mumbai, India","https://job-boards.eu.greenhouse.io/imc/jobs/4917535101","Career page Greenhouse:imc","Confirmed official posting","career_page=https://job-boards.greenhouse.io/imc?error=true | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4917535101 | internship timing not stated in title | Software Engineering Intern Are you someone who is passionate about challenging the status quo? Do you enjoy the process of problem solving, a process where you recognize areas of improvement and iterate and innovate to improve? Does your curiosity and desire to learn drive you? ROLE OVERVIEW: If so, then join IMC as a Software Engineer Intern! At IMC, Software Engineers don’t just write software and design technology. They are responsible for spotting new opportunities, developing new technologies and solving problems. As a result, they deliver results and make a difference. IMC knows that having the best software is what drives our business. Software development here is innovative, pragmatic and fun, even as compl...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"IMC Trading","2027 - Software Engineering Intern - IIT Guwahati","Mumbai, India","https://job-boards.eu.greenhouse.io/imc/jobs/4917542101","Career page Greenhouse:imc","Confirmed official posting","career_page=https://job-boards.greenhouse.io/imc?error=true | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4917542101 | internship timing not stated in title | Software Engineering Intern Are you someone who is passionate about challenging the status quo? Do you enjoy the process of problem solving, a process where you recognize areas of improvement and iterate and innovate to improve? Does your curiosity and desire to learn drive you? ROLE OVERVIEW: If so, then join IMC as a Software Engineer Intern! At IMC, Software Engineers don’t just write software and design technology. They are responsible for spotting new opportunities, developing new technologies and solving problems. As a result, they deliver results and make a difference. IMC knows that having the best software is what drives our business. Software development here is innovative, pragmatic and fun, even as compl...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"IMC Trading","2027 - Software Engineering Intern - IIT Kharagpur","Mumbai, India","https://job-boards.eu.greenhouse.io/imc/jobs/4917545101","Career page Greenhouse:imc","Confirmed official posting","career_page=https://job-boards.greenhouse.io/imc?error=true | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4917545101 | internship timing not stated in title | Software Engineering Intern Are you someone who is passionate about challenging the status quo? Do you enjoy the process of problem solving, a process where you recognize areas of improvement and iterate and innovate to improve? Does your curiosity and desire to learn drive you? ROLE OVERVIEW: If so, then join IMC as a Software Engineer Intern! At IMC, Software Engineers don’t just write software and design technology. They are responsible for spotting new opportunities, developing new technologies and solving problems. As a result, they deliver results and make a difference. IMC knows that having the best software is what drives our business. Software development here is innovative, pragmatic and fun, even as compl...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"IMC Trading","2027 - Software Engineering Intern - IIT Madras","Mumbai, India","https://job-boards.eu.greenhouse.io/imc/jobs/4917547101","Career page Greenhouse:imc","Confirmed official posting","career_page=https://job-boards.greenhouse.io/imc?error=true | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4917547101 | internship timing not stated in title | Software Engineering Intern Are you someone who is passionate about challenging the status quo? Do you enjoy the process of problem solving, a process where you recognize areas of improvement and iterate and innovate to improve? Does your curiosity and desire to learn drive you? ROLE OVERVIEW: If so, then join IMC as a Software Engineer Intern! At IMC, Software Engineers don’t just write software and design technology. They are responsible for spotting new opportunities, developing new technologies and solving problems. As a result, they deliver results and make a difference. IMC knows that having the best software is what drives our business. Software development here is innovative, pragmatic and fun, even as compl...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"IMC Trading","2027 - Software Engineering Intern - IIT Roorkee","Mumbai, India","https://job-boards.eu.greenhouse.io/imc/jobs/4917548101","Career page Greenhouse:imc","Confirmed official posting","career_page=https://job-boards.greenhouse.io/imc?error=true | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4917548101 | internship timing not stated in title | Software Engineering Intern Are you someone who is passionate about challenging the status quo? Do you enjoy the process of problem solving, a process where you recognize areas of improvement and iterate and innovate to improve? Does your curiosity and desire to learn drive you? ROLE OVERVIEW: If so, then join IMC as a Software Engineer Intern! At IMC, Software Engineers don’t just write software and design technology. They are responsible for spotting new opportunities, developing new technologies and solving problems. As a result, they deliver results and make a difference. IMC knows that having the best software is what drives our business. Software development here is innovative, pragmatic and fun, even as compl...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"IMC Trading","Machine Learning Research Intern - Summer 2027 - Amsterdam","Amsterdam, Netherlands","https://job-boards.eu.greenhouse.io/imc/jobs/4912874101","Career page Greenhouse:imc","Confirmed official posting","career_page=https://job-boards.greenhouse.io/imc?error=true | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4912874101 | internship timing: Summer 2027; graduation eligibility mentions: 2028, 2027 | Our Machine Learning Internship is designed for curious, ambitious researchers who want to apply machine learning to complex, real-world problems. Over 10 weeks, you'll work alongside experienced researchers and mentors to develop models, analyze large-scale datasets, and contribute to research that informs IMC's trading strategies across global equities, futures, and options markets. You'll begin with a week of engaging, classroom-based learning in the proprietary trading landscape, then gain hands-on experience designing experiments, evaluating novel approaches, and tackling challenging problems in a collaborative, fast-paced environment where your work can have real-world imp...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"J.P. Morgan","Asset Management Summer Analyst Program","Varies by open location","https://careers.jpmorgan.com/US/en/students/programs/asset-management-summer-analyst","Official program page","Official broad program; check currently open locations","JPM page says interns research, analyze, and develop investment strategies and models; useful for quant asset-management track.","","Official program/page","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"J.P. Morgan","Markets Summer Analyst Program","Varies by open location","https://careers.jpmorgan.com/us/en/students/programs/markets-summer-analyst","Official program page","Official broad program; check currently open locations","JPM page describes work on market strategies, complex mathematical models, machine learning techniques, and trading simulations.","","Official program/page","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","Fundamental Research Analyst","New York","https://www.janestreet.com/join-jane-street/position/8347286002/","Official Jane Street jobs feed","Confirmed official posting","Internship; May-August; Trading, Research, and Machine Learning","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","IT Operations Engineer","Hong Kong","https://www.janestreet.com/join-jane-street/position/8377831002/","Official Jane Street jobs feed","Confirmed official posting","Internship; December-February; Technology","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","Linux Engineer","Hong Kong","https://www.janestreet.com/join-jane-street/position/8377832002/","Official Jane Street jobs feed","Confirmed official posting","Internship; December-February; Technology","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","Machine Learning Engineer","New York","https://www.janestreet.com/join-jane-street/position/8611307002/","Official Jane Street jobs feed","Confirmed official posting","Internship; May-August; Trading, Research, and Machine Learning","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","Machine Learning Researcher","Hong Kong","https://www.janestreet.com/join-jane-street/position/8374335002/","Official Jane Street jobs feed","Confirmed official posting","Internship; December-February; Trading, Research, and Machine Learning","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","Machine Learning Researcher","New York","https://www.janestreet.com/join-jane-street/position/8384490002/","Official Jane Street jobs feed","Confirmed official posting","Internship; May-August; Trading, Research, and Machine Learning","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","Network Engineer","New York","https://www.janestreet.com/join-jane-street/position/8620793002/","Official Jane Street jobs feed","Confirmed official posting","Internship; May-August; Technology","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","Quantitative Researcher","Hong Kong","https://www.janestreet.com/join-jane-street/position/8343131002/","Official Jane Street jobs feed","Confirmed official posting","Internship; December-February; Trading, Research, and Machine Learning","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","Quantitative Researcher","New York","https://www.janestreet.com/join-jane-street/position/8498547002/","Official Jane Street jobs feed","Confirmed official posting","Internship; May-August; Trading, Research, and Machine Learning","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","Quantitative Trader","Hong Kong","https://www.janestreet.com/join-jane-street/position/7982986002/","Official Jane Street jobs feed","Confirmed official posting","Internship; December-February; Trading, Research, and Machine Learning","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","Quantitative Trader","New York","https://www.janestreet.com/join-jane-street/position/8617344002/","Official Jane Street jobs feed","Confirmed official posting","Internship; May-August; Trading, Research, and Machine Learning","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","Sales and Trading","New York","https://www.janestreet.com/join-jane-street/position/8347385002/","Official Jane Street jobs feed","Confirmed official posting","Internship; May-August; Institutional Sales and Trading","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","Software Engineer","Hong Kong","https://www.janestreet.com/join-jane-street/position/7582902002/","Official Jane Street jobs feed","Confirmed official posting","Internship; December-February; Technology","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","Software Engineer","New York","https://www.janestreet.com/join-jane-street/position/8599644002/","Official Jane Street jobs feed","Confirmed official posting","Internship; May-August; Technology","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","Software Engineer","New York","https://www.janestreet.com/join-jane-street/position/8419303002/","Official Jane Street jobs feed","Confirmed official posting","Co-Op; January-April; Technology","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","Strategy and Product","Hong Kong","https://www.janestreet.com/join-jane-street/position/8370012002/","Official Jane Street jobs feed","Confirmed official posting","Internship; December-February; Strategy and Product","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","Strategy and Product","New York","https://www.janestreet.com/join-jane-street/position/8621552002/","Official Jane Street jobs feed","Confirmed official posting","Internship; May-August; Strategy and Product","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","Tools & Compilers Research and Development","London","https://www.janestreet.com/join-jane-street/position/5866838002/","Official Jane Street jobs feed","Confirmed official posting","Internship; Flexible; Technology","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","Tools and Compilers Research and Development","New York","https://www.janestreet.com/join-jane-street/position/5869205002/","Official Jane Street jobs feed","Confirmed official posting","Internship; Flexible; Technology","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","Trading Desk Operations Engineer","Hong Kong","https://www.janestreet.com/join-jane-street/position/8168747002/","Official Jane Street jobs feed","Confirmed official posting","Internship; December-February; Trading, Research, and Machine Learning","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jane Street","Trading Desk Operations Engineer","New York","https://www.janestreet.com/join-jane-street/position/8621450002/","Official Jane Street jobs feed","Confirmed official posting","Internship; June-September; Trading, Research, and Machine Learning","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Jump Trading","Campus Trading Team Software Engineer  (Intern)","Hong Kong","https://www.jumptrading.com/hr/job?gh_jid=7565728","Greenhouse:jumptrading","Confirmed official posting","internship timing not stated in title; graduation eligibility mentions: 2026, 2027; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Man Group","Quant Research Analyst Intern","Shanghai ","https://job-boards.eu.greenhouse.io/mangroup/jobs/4872158101","Greenhouse:mangroup","Confirmed official posting","internship timing not stated in title; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Man Group","Quantitative Developer, Intern","Shanghai ","https://job-boards.eu.greenhouse.io/mangroup/jobs/4847708101","Greenhouse:mangroup","Confirmed official posting","internship timing not stated in title; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"New York Life","Student Internships","Varies by internship track","https://www.newyorklife.com/careers/corporate/internships","Official internship page","Official program page; check current openings","Official New York Life internships page lists actuarial, finance, investments, AI/data, technology, and related internship tracks.","","Official program/page","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Optiver","Quantitative Intern (Summer 2027)","Chicago, Illinois, United States","https://www.optiver.com/join-us/jobs/8402215002/?gh_jid=8402215002","Greenhouse:optiverus","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2027, 2029; undergrad/BS/MS language found","Submitted","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Optiver","Software Engineer Intern (Summer 2027 - Austin)","Austin, Texas, United States","https://www.optiver.com/join-us/jobs/8401052002/?gh_jid=8401052002","Greenhouse:optiverus","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Optiver","Software Engineer Intern (Summer 2027 - Chicago)","Chicago, Illinois, United States","https://www.optiver.com/join-us/jobs/8604760002/?gh_jid=8604760002","Greenhouse:optiverus","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Pacific Life","2027 Trading and Research Summer Internship - Capula","","https://apply.workable.com/capula-investment-management-ltd/j/A15A62A8BE/","Web-discovered lead","Aggregator/web lead; verify on official site","Capula Investment Management is a leading global hedge fund managing over $35 billion in assets. We are headquartered in London and have offices in New York, Singapore, Hong Kong, Tokyo, Geneva …","","Official program/page","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Pacific Life","2027 Trading and Research Summer Internship - ZipRecruiter","","https://www.ziprecruiter.com/c/Capula/Job/2027-Trading-and-Research-Summer-Internship/-in-New-York,NY?jid=e251762af1c459f2","Web-discovered lead","Aggregator/web lead; verify on official site","Easy 1-Click Apply (CAPULA) 2027 Trading and Research Summer Internship job in New York, NY. View job description, responsibilities and qualifications. See if you qualify!","","Official program/page","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Pacific Life","2027 Trading and Research Summer Internship – Tulane University ...","","https://careerengagement.tulane.edu/jobs/capula-investment-management-llp-2027-trading-and-research-summer-internship/","Web-discovered lead","Aggregator/web lead; verify on official site","May 6, 2026 &#0183;&#32;Capula Investment Management is a leading global quantitative hedge fund managing over $35 billion in assets. We are headquartered in London and have offices in New York, …","","Official program/page","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Pacific Life","28 2027 Asset Management Summer Internship jobs in United States","","https://www.linkedin.com/jobs/2027-asset-management-summer-internship-jobs","Web-discovered lead","Aggregator/web lead; verify on official site","Today's top 28 2027 Asset Management Summer Internship jobs in United States. Leverage your professional network, and get hired. New 2027 Asset Management Summer Internship jobs added …","","Official program/page","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Point72","2027 Point72 Academy Investment Analyst Summer Internship Program - Hong Kong","Hong Kong","https://boards.greenhouse.io/point72/jobs/8491055002?gh_jid=8491055002","Career page Greenhouse:point72","Confirmed official posting","career_page=https://careers.point72.com/ | company_wrapper=https://careers.point72.com/job?gh_jid=8491055002 | internship timing: Summer; graduation eligibility mentions: 2027, 2028 | The Point72 Academy Summer Internship — Hong Kong Are you a student interested in pursuing a career in investing? If you are graduating between December 2027 and July 2028, we invite you to apply for our 8-week summer internship, taking place from June to August 2027. Launch your investing career in the Point72 Academy, an investment analyst training program that will provide you with the tools and knowledge to build a career in our ever-evolving industry. Since 2015, the Academy has graduated more than 230 analysts onto our platform as of November 2025; some are portfolio managers today. The Point72 Academy Summer Internship is a combination of classroom instruction, portfolio casework, and mentorship. The...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Point72","2027 Point72 Academy Investment Analyst Summer Internship Program - Japan","Japan","https://boards.greenhouse.io/point72/jobs/8491138002?gh_jid=8491138002","Career page Greenhouse:point72","Confirmed official posting","career_page=https://careers.point72.com/ | company_wrapper=https://careers.point72.com/job?gh_jid=8491138002 | internship timing: Summer; graduation eligibility mentions: 2027, 2028 | P oint72 Academy 夏季インターンシップ（日本） 投資業界でのキャリア形成に関心をお持ちの方を対象に、2027年12月から2028年7月の間に卒業予定の学生向けに、2027年6月から8月にかけて実施される8週間の夏季インターンシップへの応募を受け付けています。 Point72 Academyは、変化し続ける投資業界において投資アナリストとして活躍するために必要な知識・スキルの習得を目的とした育成プログラムです。2015年の設立以来、2025年11月時点で230名以上のアナリストを輩出しており、その中には現在ポートフォリオ・マネージャーとして活躍しているメンバーもいます。 本インターンシップは、講義形式のトレーニング、投資ケースワーク、メンターシップを組み合わせたプログラムであり、金融およびリサーチの基礎、公開市場の仕組みに対する理解を深めるとともに、将来的にフルタイムの Point72 Academy Associate プログラムに進む可能性も見据えた準備を行います。 インターンシップ期間中の主な内容 アナリストとして必要な基礎知識・スキルを習得 会計・モデリング・プレゼンテーション・コンプライアンス研修 投資チームと協力し、株式アナリストの日常業務を直接体験するとともに、当社のポートフォリオマネージャーが担当するセクターの一つについて理解を深める ポートフォリオマネージャーが担当する業界セクターへの理解を深める アカデミーのコーチと密接に連携し、データ分析をさらに深め、投資アイデアに関する最終プレゼンテーションを準備 コンプライアンス、情報セキュリティ、および共同CIO室と連携し、投資プロセ...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Point72","2027 Point72 Academy Investment Analyst Summer Internship Program - Singapore","Singapore","https://boards.greenhouse.io/point72/jobs/8491128002?gh_jid=8491128002","Career page Greenhouse:point72","Confirmed official posting","career_page=https://careers.point72.com/ | company_wrapper=https://careers.point72.com/job?gh_jid=8491128002 | internship timing: Summer; graduation eligibility mentions: 2027, 2028 | The Point72 Academy Summer Internship — Singapore Are you a student interested in pursuing a career in investing? If you are graduating between December 2027 and July 2028, we invite you to apply for our 8-week summer internship, taking place from June to August 2027. Launch your investing career in the Point72 Academy, an investment analyst training program that will provide you with the tools and knowledge to build a career in our ever-evolving industry. Since 2015, the Academy has graduated more than 230 analysts onto our platform as of November 2025; some are portfolio managers today. The Point72 Academy Summer Internship is a combination of classroom instruction, portfolio casework, and mentorship. The...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Point72","2027 Technology Development Intern – IIT Hyderabad","India, Bengaluru","https://boards.greenhouse.io/point72/jobs/8617340002?gh_jid=8617340002","Career page Greenhouse:point72","Confirmed official posting","career_page=https://careers.point72.com/ | company_wrapper=https://careers.point72.com/job?gh_jid=8617340002 | internship timing not stated in title | 2027 Technology Development Intern – IIT Hyderabad A CAREER WITH POINT72’S TECHNOLOGY TEAM As Point72 reimagines the future of investing, our Technology group is constantly improving our company’s IT infrastructure, positioning us at the forefront of a rapidly evolving technology landscape. We’re a team of experts experimenting, discovering new ways to harness the power of open source solutions, and embracing enterprise agile methodology. We encourage professional development to ensure you bring innovative ideas to our products while satisfying your own intellectual curiosity. ABOUT THE SOFTWARE ENGINEER INTERNSHIP The Software Engineer Internship at Point72 provides individuals interested in pursuing a career in Technology at an investmen...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Point72","2027 Technology Development Intern – IIT Kanpur","India, Bengaluru","https://boards.greenhouse.io/point72/jobs/8617343002?gh_jid=8617343002","Career page Greenhouse:point72","Confirmed official posting","career_page=https://careers.point72.com/ | company_wrapper=https://careers.point72.com/job?gh_jid=8617343002 | internship timing not stated in title | 2027 Technology Development Intern – IIT Kanpur A CAREER WITH POINT72’S TECHNOLOGY TEAM As Point72 reimagines the future of investing, our Technology group is constantly improving our company’s IT infrastructure, positioning us at the forefront of a rapidly evolving technology landscape. We’re a team of experts experimenting, discovering new ways to harness the power of open source solutions, and embracing enterprise agile methodology. We encourage professional development to ensure you bring innovative ideas to our products while satisfying your own intellectual curiosity. ABOUT THE SOFTWARE ENGINEER INTERNSHIP The Software Engineer Internship at Point72 provides individuals interested in pursuing a career in Technology at an investment f...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Point72","2027 Technology Development Intern – IIT Madras","India, Bengaluru","https://boards.greenhouse.io/point72/jobs/8617339002?gh_jid=8617339002","Career page Greenhouse:point72","Confirmed official posting","career_page=https://careers.point72.com/ | company_wrapper=https://careers.point72.com/job?gh_jid=8617339002 | internship timing not stated in title | 2027 Technology Development Intern – IIT Madras A CAREER WITH POINT72’S TECHNOLOGY TEAM As Point72 reimagines the future of investing, our Technology group is constantly improving our company’s IT infrastructure, positioning us at the forefront of a rapidly evolving technology landscape. We’re a team of experts experimenting, discovering new ways to harness the power of open source solutions, and embracing enterprise agile methodology. We encourage professional development to ensure you bring innovative ideas to our products while satisfying your own intellectual curiosity. ABOUT THE SOFTWARE ENGINEER INTERNSHIP The Software Engineer Internship at Point72 provides individuals interested in pursuing a career in Technology at an investment f...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Point72","Cubist Quantitative Researcher Intern","Hong Kong","https://boards.greenhouse.io/point72/jobs/7297611002?gh_jid=7297611002","Career page Greenhouse:point72","Confirmed official posting","career_page=https://careers.point72.com/ | company_wrapper=https://careers.point72.com/job?gh_jid=7297611002 | internship timing not stated in title | ABOUT CUBIST Cubist Systematic Strategies, an affiliate of Point72, deploys systematic, computer-driven trading strategies across multiple liquid asset classes, including equities, futures and foreign exchange. The core of our effort is rigorous research into a wide range of market anomalies, fueled by our unparalleled access to a wide range of publicly available data sources. ROLE Quantitative alpha research requires mastery of multiple domains. The best research requires original research ideas, good intuition, strong data analysis skills, and good research planning. Our research directly drives our investment decisions. This role is highly selective. We have a long history of training extraordinarily talented academic researchers to suc...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Point72","Cubist Quantitative Researcher Intern","Singapore","https://boards.greenhouse.io/point72/jobs/7297598002?gh_jid=7297598002","Career page Greenhouse:point72","Confirmed official posting","career_page=https://careers.point72.com/ | company_wrapper=https://careers.point72.com/job?gh_jid=7297598002 | internship timing not stated in title | ABOUT CUBIST Cubist Systematic Strategies, an affiliate of Point72, deploys systematic, computer-driven trading strategies across multiple liquid asset classes, including equities, futures and foreign exchange. The core of our effort is rigorous research into a wide range of market anomalies, fueled by our unparalleled access to a wide range of publicly available data sources. ROLE Quantitative alpha research requires mastery of multiple domains. The best research requires original research ideas, good intuition, strong data analysis skills, and good research planning. Our research directly drives our investment decisions. This role is highly selective. We have a long history of training extraordinarily talented academic researchers to suc...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Point72","Machine Learning Researcher - Intern","New York","https://boards.greenhouse.io/point72/jobs/7302611002?gh_jid=7302611002","Career page Greenhouse:point72","Confirmed official posting","career_page=https://careers.point72.com/ | company_wrapper=https://careers.point72.com/job?gh_jid=7302611002 | internship timing not stated in title | JOB DESCRIPTION Researchers are responsible for applying, adapting, and extending existing results in the broad field of machine learning, while also conducting novel research as required. We are interested in all aspects of ML including: predictive modelling, clustering, time series analysis, natural language processing, and computer vision. Successful researchers manage all aspects of the research process including methodology selection, data collection and analysis, implementation and testing, prototyping, and performance evaluation. Some successful researchers have joined us from similar backgrounds at other firms. Others have joined from related fields or directly from academia and have thrived with hands on guidance from our large te...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Point72","Quantitative Developer Intern","New York","https://boards.greenhouse.io/point72/jobs/7609197002?gh_jid=7609197002","Career page Greenhouse:point72","Confirmed official posting","career_page=https://careers.point72.com/ | company_wrapper=https://careers.point72.com/job?gh_jid=7609197002 | internship timing not stated in title | Job Description A highly collaborative, fast-growing team, Point72 Internal Alpha Capture (IAC) is developing scalable quantitative equity trading signals that leverage rigorous research, state-of-the-art machine learning methods, a broad range of public and proprietary data sources, and unparalleled computing power. We are looking for exceptional students to join us as quantitative developer interns for Summer 2025. Our interns will work closely with our team, receive comprehensive, in-depth training, and help develop novel signals that may have real impact. You will gain exposure to a variety of activities, which may include: Enhancing quantitative research platforms by benchmarking and integrating in-house and cloud technologies Optimiz...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
